Time (local),Ozone (ppm)
2025-07-07_10:51:23,0.021
2025-07-07_10:52:19,0.022
2025-07-07_10:53:14,0.021
2025-07-07_10:54:09,0.022
2025-07-07_10:55:05,0.021
2025-07-07_10:56:00,0.021
2025-07-07_10:56:56,0.022
2025-07-07_10:57:51,0.022
2025-07-07_10:58:46,0.021
2025-07-07_10:59:42,0.021
2025-07-07_11:00:37,0.021
2025-07-07_11:02:28,0.021
2025-07-07_11:03:23,0.021
2025-07-07_11:04:18,0.021
2025-07-07_11:05:14,0.021
2025-07-07_11:06:09,0.021
2025-07-07_11:07:05,0.021
2025-07-07_11:08:00,0.021
2025-07-07_11:08:55,0.021
2025-07-07_11:09:51,0.021
2025-07-07_11:10:46,0.021
2025-07-07_11:11:42,0.022
2025-07-07_11:12:37,0.022
2025-07-07_11:14:28,0.022
2025-07-07_11:15:23,0.021
2025-07-07_11:16:18,0.021
2025-07-07_11:17:14,0.021
2025-07-07_11:18:09,0.021
2025-07-07_11:19:05,0.021
2025-07-07_11:20:00,0.021
2025-07-07_11:20:55,0.020
2025-07-07_11:21:51,0.021
2025-07-07_11:22:46,0.020
2025-07-07_11:23:42,0.021
2025-07-07_11:24:37,0.020
2025-07-07_11:26:28,0.021
2025-07-07_11:27:23,0.021
2025-07-07_11:28:19,0.021
2025-07-07_11:29:14,0.020
2025-07-07_11:30:09,0.020
2025-07-07_11:31:05,0.021
2025-07-07_11:32:00,0.020
2025-07-07_11:32:56,0.019
2025-07-07_11:33:51,0.020
2025-07-07_11:34:46,0.020
2025-07-07_11:35:42,0.020
2025-07-07_11:36:37,0.019
2025-07-07_11:38:28,0.019
2025-07-07_11:39:23,0.019
2025-07-07_11:40:19,0.019
2025-07-07_11:41:14,0.020
2025-07-07_11:42:09,0.019
2025-07-07_11:43:05,0.019
2025-07-07_11:44:00,0.020
2025-07-07_11:44:55,0.019
2025-07-07_11:45:51,0.019
2025-07-07_11:46:46,0.018
2025-07-07_11:47:41,0.018
2025-07-07_11:48:37,0.018
2025-07-07_11:50:27,0.018
2025-07-07_11:51:23,0.018
2025-07-07_11:52:18,0.018
2025-07-07_11:53:14,0.017
2025-07-07_11:54:09,0.017
2025-07-07_11:55:04,0.017
2025-07-07_11:56:00,0.017
2025-07-07_11:56:55,0.017
2025-07-07_11:57:50,0.017
2025-07-07_11:58:46,0.017
2025-07-07_11:59:41,0.017
2025-07-07_12:00:36,0.017
2025-07-07_12:02:27,0.018
2025-07-07_12:03:22,0.017
2025-07-07_12:04:18,0.017
2025-07-07_12:05:13,0.017
2025-07-07_12:06:09,0.017
2025-07-07_12:07:04,0.016
2025-07-07_12:07:59,0.017
2025-07-07_12:08:55,0.017
2025-07-07_12:09:50,0.017
2025-07-07_12:10:46,0.017
2025-07-07_12:11:41,0.017
2025-07-07_12:12:36,0.017
2025-07-07_12:14:27,0.017
2025-07-07_12:15:22,0.017
2025-07-07_12:16:18,0.016
2025-07-07_12:17:13,0.016
2025-07-07_12:18:08,0.016
2025-07-07_12:19:04,0.016
2025-07-07_12:19:59,0.017
2025-07-07_12:20:54,0.017
2025-07-07_12:21:50,0.017
2025-07-07_12:22:45,0.017
2025-07-07_12:23:41,0.017
2025-07-07_12:24:36,0.016
2025-07-07_12:26:27,0.016
2025-07-07_12:27:22,0.017
2025-07-07_12:28:17,0.016
2025-07-07_12:29:13,0.016
2025-07-07_12:30:08,0.017
2025-07-07_12:31:03,0.016
2025-07-07_12:31:59,0.017
2025-07-07_12:32:54,0.016
2025-07-07_12:33:50,0.016
2025-07-07_12:34:45,0.017
2025-07-07_12:35:40,0.017
2025-07-07_12:36:36,0.016
2025-07-07_12:38:27,0.015
2025-07-07_12:39:22,0.015
2025-07-07_12:40:17,0.015
2025-07-07_12:41:13,0.015
2025-07-07_12:42:08,0.014
2025-07-07_12:43:03,0.015
2025-07-07_12:43:59,0.015
2025-07-07_12:44:54,0.014
2025-07-07_12:45:49,0.014
2025-07-07_12:46:45,0.013
2025-07-07_12:47:40,0.014
2025-07-07_12:48:35,0.014
2025-07-07_12:50:26,0.014
2025-07-07_12:51:22,0.015
2025-07-07_12:52:17,-999
2025-07-07_12:53:12,0.015
2025-07-07_12:54:08,0.015
2025-07-07_12:55:03,0.015
2025-07-07_12:55:58,0.016
2025-07-07_12:56:54,0.016
2025-07-07_12:57:49,0.015
2025-07-07_12:58:44,0.015
2025-07-07_12:59:40,0.015
2025-07-07_13:01:30,0.015
2025-07-07_13:02:26,0.016
2025-07-07_13:03:21,0.016
2025-07-07_13:04:17,0.017
2025-07-07_13:05:12,0.016
2025-07-07_13:06:08,0.017
2025-07-07_13:07:03,0.017
2025-07-07_13:07:58,0.016
2025-07-07_13:08:54,0.018
2025-07-07_13:09:49,0.018
2025-07-07_13:10:44,0.018
2025-07-07_13:11:40,0.019
2025-07-07_13:12:35,0.018
2025-07-07_13:14:26,0.017
2025-07-07_13:15:21,0.018
2025-07-07_13:16:17,0.018
2025-07-07_13:17:12,0.017
2025-07-07_13:18:07,0.017
2025-07-07_13:19:03,0.018
2025-07-07_13:19:58,0.019
2025-07-07_13:20:53,0.019
2025-07-07_13:21:49,0.019
2025-07-07_13:22:44,0.018
2025-07-07_13:23:39,0.019
2025-07-07_13:25:30,0.019
2025-07-07_13:26:26,0.019
2025-07-07_13:27:21,0.019
2025-07-07_13:28:16,0.019
2025-07-07_13:29:12,0.018
2025-07-07_13:30:07,0.018
2025-07-07_13:31:02,0.019
2025-07-07_13:31:58,0.020
2025-07-07_13:32:53,0.019
2025-07-07_13:33:48,0.019
2025-07-07_13:34:44,0.019
2025-07-07_13:35:39,0.019
2025-07-07_13:37:30,0.019
2025-07-07_13:38:25,0.020
